date,co_num,horizon,rate,std
1989-01-01,60631,1,5.7115686517142255,0.25513719459391376
1989-01-01,60631,2,5.899487390192148,0.22850680482901317
1989-01-01,60631,3,6.086391750483684,0.20202909713389997
1989-01-01,60631,4,6.271774628013056,0.1758022422310153
1989-01-01,60631,5,6.4551289182045,0.14994088851283469
1989-01-01,60631,6,6.635947516482251,0.1245912337304098
1989-01-01,60631,7,6.813723318270538,0.09996657837677439
1989-01-01,60631,8,6.987949218993592,0.07644305765127458
1989-01-01,60631,9,7.158118114075651,0.05486249379864546
1989-01-01,60631,10,7.323722898940943,0.03762003054107809
1989-01-01,60631,11,7.484256469013705,0.031144595919234134
1989-01-01,60631,12,7.639211719718161,0.039657571045461096
1989-01-01,60631,13,7.788081546478555,0.05578128671852393
1989-01-01,60631,14,7.93035884471911,0.07392659531719947
1989-01-01,60631,15,8.065536509864064,0.09221761349865931
1989-01-01,60631,16,8.193119863391534,0.10996715618608628
1989-01-01,60631,17,8.312751458115779,0.12686926042254776
1989-01-01,60631,18,8.424294151739007,0.14278108481311522
1989-01-01,60631,19,8.527783557307632,0.15764097054031437
1989-01-01,60631,20,8.623384856535557,0.17143323884206896
1989-01-01,60631,21,8.711361951590407,0.1841710611179402
1989-01-01,60631,22,8.792055029646551,0.1958870940050453
1989-01-01,60631,23,8.865863979909012,0.20662787402883406
1989-01-01,60631,24,8.933235956208609,0.21645021901571138
1989-01-01,60631,25,8.99465592445492,0.22541878903135226
1989-01-01,60631,26,9.050639391362322,0.2336043618545723
1989-01-01,60631,27,9.10172674895488,0.241082572502558
1989-01-01,60631,28,9.148478830919734,0.2479329674472337
1989-01-01,60631,29,9.191473388303962,0.2542382800954674
1989-01-01,60631,30,9.231302270048573,0.26008386672127937
1989-01-01,60682,1,4.736798726979791,0.3434576843159649
1989-01-01,60682,2,4.903704851442164,0.30910227674225804
1989-01-01,60682,3,5.069710023007552,0.2749380828882291
1989-01-01,60682,4,5.234363840294353,0.24108432779192174
1989-01-01,60682,5,5.397215901920971,0.20767559671204525
1989-01-01,60682,6,5.5578158065058085,0.17487460517810383
1989-01-01,60682,7,5.715713152667269,0.14290066636316284
1989-01-01,60682,8,5.870457539023756,0.11210102447426801
1989-01-01,60682,9,6.021598564193672,0.08315800027687875
1989-01-01,60682,10,6.168685826795415,0.0577970169267664
1989-01-01,60682,11,6.311268925447394,0.041179948660038074
1989-01-01,60682,12,6.448897458768006,0.04260820685079373
1989-01-01,60682,13,6.581121025375661,0.059300087253116265
1989-01-01,60682,14,6.707489223888754,0.08124377710842498
1989-01-01,60682,15,6.827551652925693,0.10419265993157822
1989-01-01,60682,16,6.940868947707789,0.12673411196667267
1989-01-01,60682,17,7.047123629919924,0.14830697846464125
1989-01-01,60682,18,7.146193892180834,0.16866448488796282
1989-01-01,60682,19,7.238111365373124,0.18770012983220394
1989-01-01,60682,20,7.323022760995201,0.20538073682305044
1989-01-01,60682,21,7.4011624723193465,0.22171650897821474
1989-01-01,60682,22,7.472832647621601,0.23674573167165922
1989-01-01,60682,23,7.538388461473504,0.25052609398768955
1989-01-01,60682,24,7.598227068057476,0.26312934478548405
1989-01-01,60682,25,7.652779205580459,0.2746377855273124
1989-01-01,60682,26,7.702502738056066,0.2851418514475403
1989-01-01,60682,27,7.747877632193082,0.29473837732990565
1989-01-01,60682,28,7.789402010626569,0.3035293156569803
1989-01-01,60682,29,7.8275890216936945,0.3116207661712028
1989-01-01,60682,30,7.862964335233509,0.31912222736023493
1989-01-01,62898,1,6.022074943172698,0.37259834058406605
1989-01-01,62898,2,6.1496192209912115,0.33383867299105574
1989-01-01,62898,3,6.2764750196603565,0.2957128997813176
1989-01-01,62898,4,6.4022981569691435,0.2585245453070598
1989-01-01,62898,5,6.526744450706593,0.22269192880783903
1989-01-01,62898,6,6.649469718661714,0.1888359214853692
1989-01-01,62898,7,6.7701297786235255,0.1579427784060713
1989-01-01,62898,8,6.888380448381044,0.13163952294120815
1989-01-01,62898,9,7.003877545723286,0.11248749883639313
